user,ILD,model
236,0.7,CF (KNNBasic)
263,0.7,CF (KNNBasic)
109,0.7444444444444445,CF (KNNBasic)
64,0.7,CF (KNNBasic)
114,0.7,CF (KNNBasic)
239,0.7,CF (KNNBasic)
117,0.7,CF (KNNBasic)
65,0.7,CF (KNNBasic)
137,0.7,CF (KNNBasic)
257,0.7,CF (KNNBasic)
111,0.7,CF (KNNBasic)
285,0.7,CF (KNNBasic)
96,0.6888888888888889,CF (KNNBasic)
116,0.7,CF (KNNBasic)
73,0.7,CF (KNNBasic)
221,0.7,CF (KNNBasic)
235,0.7,CF (KNNBasic)
164,0.7,CF (KNNBasic)
281,0.6444444444444444,CF (KNNBasic)
182,0.7555555555555555,CF (KNNBasic)
129,0.7,CF (KNNBasic)
45,0.7888888888888889,CF (KNNBasic)
131,0.7185185185185186,CF (KNNBasic)
230,0.7888888888888889,CF (KNNBasic)
126,0.7,CF (KNNBasic)
231,0.7,CF (KNNBasic)
280,0.7,CF (KNNBasic)
288,0.7,CF (KNNBasic)
152,0.7,CF (KNNBasic)
217,0.7,CF (KNNBasic)
79,0.7,CF (KNNBasic)
75,0.7888888888888889,CF (KNNBasic)
245,0.7,CF (KNNBasic)
282,0.7,CF (KNNBasic)
78,0.7,CF (KNNBasic)
118,0.7111111111111111,CF (KNNBasic)
283,0.7888888888888889,CF (KNNBasic)
171,0.7,CF (KNNBasic)
107,0.7,CF (KNNBasic)
226,0.7,CF (KNNBasic)
306,0.7,CF (KNNBasic)
173,0.7,CF (KNNBasic)
185,0.7,CF (KNNBasic)
150,0.7888888888888889,CF (KNNBasic)
274,0.7,CF (KNNBasic)
188,0.7,CF (KNNBasic)
48,0.7,CF (KNNBasic)
311,0.7,CF (KNNBasic)
165,0.7,CF (KNNBasic)
208,0.7,CF (KNNBasic)
2,0.7,CF (KNNBasic)
205,0.7,CF (KNNBasic)
248,0.7111111111111111,CF (KNNBasic)
93,0.7703703703703704,CF (KNNBasic)
159,0.7,CF (KNNBasic)
146,0.5777777777777777,CF (KNNBasic)
29,0.7,CF (KNNBasic)
156,0.7111111111111111,CF (KNNBasic)
37,0.7888888888888889,CF (KNNBasic)
141,0.7,CF (KNNBasic)
195,0.7,CF (KNNBasic)
108,0.7888888888888889,CF (KNNBasic)
