n_factors,n_epochs,lr_all,reg_all,RMSE,MAE,P@10,nDCG@10
80,20,0.005,0.02,0.8729238793500248,0.6849068070937154,0.01661368579554961,0.602042725715641
80,20,0.005,0.05,0.8719933796651077,0.6881871179608573,0.01617868495900954,0.5849458269085679
80,30,0.005,0.02,0.8815742931877283,0.6889773515070697,0.01629580056884725,0.5940217896590636
80,30,0.005,0.05,0.8584112807590719,0.6763095266981681,0.016329262171658022,0.5993909764819138
120,20,0.005,0.02,0.8753252958747407,0.6864364367580202,0.01567676091684792,0.6069679157910525
120,20,0.005,0.05,0.8701037625063147,0.6864707892186358,0.015810607328091017,0.598909653922389
120,30,0.005,0.02,0.8849338316178905,0.6915880839009529,0.015459260498577883,0.6029413573140912
120,30,0.005,0.05,0.8573765979136204,0.6752006163104676,0.016212146561820313,0.6073159038715119
