Model,RMSE,MAE,P@K,R@K,Hit@K,MAP@K,nDCG@K
SVD,0.8815742931877283,0.6889773515070697,0.02066253973565334,0.010122197319460896,0.16423841059602648,0.010569051029168105,0.593587247038205
KNNBaseline_Item,0.8589412809538892,0.6721982264453381,0.020746193742680278,0.010309131092988835,0.16423841059602648,0.009987886250894766,0.5701216620911357
KNNWithMeans_User,0.9396803440261559,0.7475995297680138,0.013200602308850595,0.006678009174479621,0.11539735099337749,0.0042343690296820224,0.4532439167996837
