Model,RMSE,MAE,P@K,R@K,Hit@K,MAP@K,nDCG@K
SVD,0.939626589366983,0.7386351711266522,0.07554112554112553,0.05560530570119366,0.391304347826087,0.041760507667188466,0.5932903649352748
KNNBaseline_Item,0.9169319435098323,0.7188289493266701,0.05454545454545454,0.03441701164077209,0.3022269353128314,0.022544033932649293,0.5041029145780557
KNNWithMeans_User,0.9538420917519742,0.7525615382075901,0.0027056277056277055,0.002081811438768132,0.021208907741251327,0.0012646232052382635,0.5669113568179636
